fight_id,event_name,fighter_1,fighter_1_result,fighter_2,fighter_2_result,bout_type,method,end_round,end_time_round,max_round,referee,fight_link
1112,UFC Fight Night: Blachowicz vs. Rakic,Ryan Spann,W,Ion Cutelaba,L,Light Heavyweight Bout,Submission,1,142,3,Herb Dean,http://ufcstats.com/fight-details/2fa88b72973478b6
1113,UFC Fight Night: Blachowicz vs. Rakic,Davey Grant,W,Louis Smolka,L,Bantamweight Bout,KO/TKO,3,49,3,Mike Beltran,http://ufcstats.com/fight-details/43543a2c1c7a7135
1114,UFC Fight Night: Blachowicz vs. Rakic,Katlyn Cerminara,W,Amanda Ribas,L,Women's Flyweight Bout,Decision - Split,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/fad150a0288efbd7
1115,UFC Fight Night: Blachowicz vs. Rakic,Frank Camacho,L,Manuel Torres,W,Lightweight Bout,KO/TKO,1,207,3,Herb Dean,http://ufcstats.com/fight-details/e240d6f77747ec46
1116,UFC Fight Night: Blachowicz vs. Rakic,Jake Hadley,L,Allan Nascimento,W,Flyweight Bout,Decision - Unanimous,3,300,3,Mike Beltran,http://ufcstats.com/fight-details/b3248692dfb954b2
1117,UFC Fight Night: Blachowicz vs. Rakic,Viviane Araujo,W,Andrea Lee,L,Women's Flyweight Bout,Decision - Unanimous,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/7e047b195135ef06
1118,UFC Fight Night: Blachowicz vs. Rakic,Michael Johnson,W,Alan Patrick,L,Lightweight Bout,KO/TKO,2,202,3,Herb Dean,http://ufcstats.com/fight-details/8a1aa64eb1f17913
1119,UFC Fight Night: Blachowicz vs. Rakic,Virna Jandiroba,W,Angela Hill,L,Women's Strawweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/f549164690d723bb
1120,UFC Fight Night: Blachowicz vs. Rakic,Tatsuro Taira,W,Carlos Candelario,L,Flyweight Bout,Decision - Unanimous,3,300,3,Mike Beltran,http://ufcstats.com/fight-details/22f1133d02700bb2
1121,UFC Fight Night: Blachowicz vs. Rakic,Nick Maximov,L,Andre Petroski,W,Middleweight Bout,Submission,1,76,3,Chris Tognoni,http://ufcstats.com/fight-details/afed0bac5ce5a2f3
1122,UFC 274: Oliveira vs. Gaethje,Charles Oliveira,W,Justin Gaethje,L,Lightweight Bout,Submission,1,202,5,Marc Goddard,http://ufcstats.com/fight-details/7d4e49d8a6678157
1123,UFC 274: Oliveira vs. Gaethje,Rose Namajunas,L,Carla Esparza,W,UFC Women's Strawweight Title Bout,Decision - Split,5,300,5,Keith Peterson,http://ufcstats.com/fight-details/9d61012a6020516e
1124,UFC 274: Oliveira vs. Gaethje,Michael Chandler,W,Tony Ferguson,L,Lightweight Bout,KO/TKO,2,17,3,Jason Herzog,http://ufcstats.com/fight-details/a2ebb5f86eb64f22
1125,UFC 274: Oliveira vs. Gaethje,Mauricio Rua,L,Ovince Saint Preux,W,Light Heavyweight Bout,Decision - Split,3,300,3,Marc Goddard,http://ufcstats.com/fight-details/c020ccbd7cdefb6e
1126,UFC 274: Oliveira vs. Gaethje,Randy Brown,W,Khaos Williams,L,Welterweight Bout,Decision - Split,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/8390441d93736719
1127,UFC 274: Oliveira vs. Gaethje,Francisco Trinaldo,W,Danny Roberts,L,Welterweight Bout,Decision - Unanimous,3,300,3,Ryan Brueggeman,http://ufcstats.com/fight-details/6a902b97ac98c283
1128,UFC 274: Oliveira vs. Gaethje,Macy Chiasson,W,Norma Dumont,L,Women's Featherweight Bout,Decision - Split,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/fc4939b3c9071e66
1129,UFC 274: Oliveira vs. Gaethje,Brandon Royval,W,Matt Schnell,L,Flyweight Bout,Submission,1,134,3,Ryan Brueggeman,http://ufcstats.com/fight-details/80ac36a9dbc4b1a1
1130,UFC 274: Oliveira vs. Gaethje,Blagoy Ivanov,W,Marcos Rogerio de Lima,L,Heavyweight Bout,Decision - Unanimous,3,300,3,Marc Goddard,http://ufcstats.com/fight-details/ff6c8dab41efcc09
1131,UFC 274: Oliveira vs. Gaethje,Andre Fialho,W,Cameron VanCamp,L,Welterweight Bout,KO/TKO,1,155,3,Marc Goddard,http://ufcstats.com/fight-details/397dd9a8694ef413
1132,UFC 274: Oliveira vs. Gaethje,Tracy Cortez,W,Melissa Gatto,L,Women's Flyweight Bout,Decision - Unanimous,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/60d9d50b763adc62
1133,UFC 274: Oliveira vs. Gaethje,Kleydson Rodrigues,L,CJ Vergara,W,Flyweight Bout,Decision - Split,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/8289033e03b4d9a3
1134,UFC 274: Oliveira vs. Gaethje,Ariane Carnelossi,L,Loopy Godinez,W,Women's Strawweight Bout,Decision - Unanimous,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/88455c967a7ef6fc
1135,UFC 274: Oliveira vs. Gaethje,Journey Newson,W,Fernie Garcia,L,Bantamweight Bout,Decision - Unanimous,3,300,3,Ryan Brueggeman,http://ufcstats.com/fight-details/430309e0f8a315d5
1136,UFC Fight Night: Font vs. Vera,Rob Font,L,Marlon Vera,W,Bantamweight Bout,Decision - Unanimous,5,300,5,Jason Herzog,http://ufcstats.com/fight-details/5ae5eb729c6bb169
1137,UFC Fight Night: Font vs. Vera,Andrei Arlovski,W,Jake Collier,L,Heavyweight Bout,Decision - Split,3,300,3,Mark Smith,http://ufcstats.com/fight-details/eb277b5ea2a19124
1138,UFC Fight Night: Font vs. Vera,Andre Fili,L,Joanderson Brito,W,Featherweight Bout,KO/TKO,1,41,3,Herb Dean,http://ufcstats.com/fight-details/632c2d4ed12f2bdf
1139,UFC Fight Night: Font vs. Vera,Jared Gordon,L,Grant Dawson,W,Lightweight Bout,Submission,3,251,3,Keith Peterson,http://ufcstats.com/fight-details/7c8701bb78cb4de8
1140,UFC Fight Night: Font vs. Vera,Darren Elkins,W,Tristan Connelly,L,Featherweight Bout,Decision - Unanimous,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/760e3f292b834637
1141,UFC Fight Night: Font vs. Vera,Krzysztof Jotko,W,Gerald Meerschaert,L,Middleweight Bout,Decision - Unanimous,3,300,3,Herb Dean,http://ufcstats.com/fight-details/6b956992204ec040
1142,UFC Fight Night: Font vs. Vera,Alexandr Romanov,W,Chase Sherman,L,Heavyweight Bout,Submission,1,131,3,Mark Smith,http://ufcstats.com/fight-details/d2484d74f819d813
1143,UFC Fight Night: Font vs. Vera,Daniel Lacerda,L,Francisco Figueiredo,W,Flyweight Bout,Submission,1,78,3,Keith Peterson,http://ufcstats.com/fight-details/7e4b7a70838e5ba4
1144,UFC Fight Night: Font vs. Vera,Gabe Green,W,Yohan Lainesse,L,Welterweight Bout,KO/TKO,2,242,3,Herb Dean,http://ufcstats.com/fight-details/5b731da9e4be4391
1145,UFC Fight Night: Font vs. Vera,Natan Levy,W,Mike Breeden,L,Lightweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/9217ecc287ac482d
1146,UFC Fight Night: Font vs. Vera,Gina Mazany,L,Shanna Young,W,Women's Flyweight Bout,KO/TKO,2,191,3,Jason Herzog,http://ufcstats.com/fight-details/80cf37627a129145
1147,UFC Fight Night: Lemos vs. Andrade,Amanda Lemos,L,Jessica Andrade,W,Women's Strawweight Bout,Submission,1,193,5,Keith Peterson,http://ufcstats.com/fight-details/3a3ac7b3987f6799
1148,UFC Fight Night: Lemos vs. Andrade,Clay Guida,L,Claudio Puelles,W,Lightweight Bout,Submission,1,181,3,Herb Dean,http://ufcstats.com/fight-details/6017351e164dbca3
1149,UFC Fight Night: Lemos vs. Andrade,Maycee Barber,W,Montana De La Rosa,L,Women's Flyweight Bout,Decision - Unanimous,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/a45d4327bc82bc28
1150,UFC Fight Night: Lemos vs. Andrade,Lando Vannata,L,Charles Jourdain,W,Featherweight Bout,Submission,1,152,3,Keith Peterson,http://ufcstats.com/fight-details/173d576e6247a88a
1151,UFC Fight Night: Lemos vs. Andrade,Jordan Wright,L,Marc-Andre Barriault,W,Catch Weight Bout,Submission,1,156,3,Herb Dean,http://ufcstats.com/fight-details/992e84bf59837e21
1152,UFC Fight Night: Lemos vs. Andrade,Dwight Grant,L,Sergey Khandozhko,W,Welterweight Bout,KO/TKO,2,255,3,Chris Tognoni,http://ufcstats.com/fight-details/9b8a82276f06829f
1153,UFC Fight Night: Lemos vs. Andrade,Tyson Pedro,W,Ike Villanueva,L,Light Heavyweight Bout,KO/TKO,1,295,3,Mark Smith,http://ufcstats.com/fight-details/e8c57c6259193466
1154,UFC Fight Night: Lemos vs. Andrade,Aoriqileng,W,Cameron Else,L,Bantamweight Bout,KO/TKO,1,168,3,Keith Peterson,http://ufcstats.com/fight-details/926977ec3ed0ebe1
1155,UFC Fight Night: Lemos vs. Andrade,Preston Parsons,W,Evan Elder,L,Welterweight Bout,Decision - Unanimous,3,300,3,Herb Dean,http://ufcstats.com/fight-details/e4d946470fd150fe
1156,UFC Fight Night: Lemos vs. Andrade,Marcin Prachnio,L,Philipe Lins,W,Light Heavyweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/6a4ba72b084193b5
1157,UFC Fight Night: Lemos vs. Andrade,Dean Barry,L,Mike Jackson,W,Welterweight Bout,DQ,1,232,3,Chris Tognoni,http://ufcstats.com/fight-details/7cf7960c6ccb5fa1
1158,UFC Fight Night: Luque vs. Muhammad,Vicente Luque,L,Belal Muhammad,W,Welterweight Bout,Decision - Unanimous,5,300,5,Herb Dean,http://ufcstats.com/fight-details/6d4b6224f26572f9
1159,UFC Fight Night: Luque vs. Muhammad,Caio Borralho,W,Gadzhi Omargadzhiev,L,Middleweight Bout,Decision - Unanimous,3,236,3,Dan Miragliotta,http://ufcstats.com/fight-details/a0a120c50d93f70a
1160,UFC Fight Night: Luque vs. Muhammad,Miguel Baeza,L,Andre Fialho,W,Welterweight Bout,KO/TKO,1,279,3,Mark Smith,http://ufcstats.com/fight-details/7c5fc3fc7be4a997
1161,UFC Fight Night: Luque vs. Muhammad,Mayra Bueno Silva,W,Wu Yanan,L,Women's Bantamweight Bout,Decision - Unanimous,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/2e94ee4b9f5fddea
1162,UFC Fight Night: Luque vs. Muhammad,Pat Sabatini,W,TJ Laramie,L,Featherweight Bout,Decision - Unanimous,3,300,3,Herb Dean,http://ufcstats.com/fight-details/4f6e7159e77d4215
1163,UFC Fight Night: Luque vs. Muhammad,Mounir Lazzez,W,Ange Loosa,L,Welterweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/559031e51ced0b53
1164,UFC Fight Night: Luque vs. Muhammad,Devin Clark,W,William Knight,L,Heavyweight Bout,KO/TKO,3,201,3,Dan Miragliotta,http://ufcstats.com/fight-details/b09f8cd4cbd7ba56
1165,UFC Fight Night: Luque vs. Muhammad,Lina Lansberg,L,Pannie Kianzad,W,Women's Bantamweight Bout,Decision - Unanimous,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/c20e6697335c3b3d
1166,UFC Fight Night: Luque vs. Muhammad,Drakkar Klose,W,Brandon Jenkins,L,Lightweight Bout,KO/TKO,2,33,3,Herb Dean,http://ufcstats.com/fight-details/74c58b9d638c5eaa
1167,UFC Fight Night: Luque vs. Muhammad,Rafa Garcia,W,Jesse Ronson,L,Lightweight Bout,Submission,2,290,3,Mark Smith,http://ufcstats.com/fight-details/0987b3f785e26d1c
1168,UFC Fight Night: Luque vs. Muhammad,Chris Barnett,L,Martin Buday,W,Heavyweight Bout,Decision - Unanimous,3,98,3,Dan Miragliotta,http://ufcstats.com/fight-details/1ceab8fa45996f51
1169,UFC Fight Night: Luque vs. Muhammad,Jordan Leavitt,W,Trey Ogden,L,Lightweight Bout,Decision - Split,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/eac46cfead228e11
1170,UFC Fight Night: Luque vs. Muhammad,Istela Nunes,L,Sam Hughes,W,Women's Strawweight Bout,Decision - Majority,3,300,3,Mark Smith,http://ufcstats.com/fight-details/0daf776bd222daad
1171,UFC Fight Night: Luque vs. Muhammad,Alatengheili,W,Kevin Croom,L,Bantamweight Bout,KO/TKO,1,47,3,Chris Tognoni,http://ufcstats.com/fight-details/fb7ebdda8658fa05
1172,UFC 273: Volkanovski vs. The Korean Zombie,Alexander Volkanovski,W,Chan Sung Jung,L,UFC Featherweight Title Bout,KO/TKO,4,45,5,Herb Dean,http://ufcstats.com/fight-details/dc0ab34f1952cb48
1173,UFC 273: Volkanovski vs. The Korean Zombie,Aljamain Sterling,W,Petr Yan,L,UFC Bantamweight Title Bout,Decision - Split,5,300,5,Keith Peterson,http://ufcstats.com/fight-details/9a8964b148cb5923
1174,UFC 273: Volkanovski vs. The Korean Zombie,Gilbert Burns,L,Khamzat Chimaev,W,Welterweight Bout,Decision - Unanimous,3,300,3,Mike Beltran,http://ufcstats.com/fight-details/394b0347b0438622
1175,UFC 273: Volkanovski vs. The Korean Zombie,Mackenzie Dern,W,Tecia Pennington,L,Women's Strawweight Bout,Decision - Split,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/d8945e21a63e2451
1176,UFC 273: Volkanovski vs. The Korean Zombie,Vinc Pichel,L,Mark Madsen,W,Lightweight Bout,Decision - Unanimous,3,300,3,Larry Folsom,http://ufcstats.com/fight-details/15311d4b33d93004
1177,UFC 273: Volkanovski vs. The Korean Zombie,Ian Machado Garry,W,Darian Weeks,L,Welterweight Bout,Decision - Unanimous,3,300,3,Herb Dean,http://ufcstats.com/fight-details/313b85fe82b2ba80
1178,UFC 273: Volkanovski vs. The Korean Zombie,Anthony Hernandez,W,Josh Fremd,L,Middleweight Bout,Decision - Unanimous,3,300,3,Herb Dean,http://ufcstats.com/fight-details/7c6ed5b3d830d0cb
1179,UFC 273: Volkanovski vs. The Korean Zombie,Aspen Ladd,L,Raquel Pennington,W,Women's Bantamweight Bout,Decision - Unanimous,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/88c6e7f71b79fd65
1180,UFC 273: Volkanovski vs. The Korean Zombie,Mickey Gall,L,Mike Malott,W,Welterweight Bout,KO/TKO,1,221,3,Larry Folsom,http://ufcstats.com/fight-details/7458a37feabf8788
1181,UFC 273: Volkanovski vs. The Korean Zombie,Aleksei Oleinik,W,Jared Vanderaa,L,Heavyweight Bout,Submission,1,219,3,Mike Beltran,http://ufcstats.com/fight-details/278b965694e563b2
1182,UFC 273: Volkanovski vs. The Korean Zombie,Piera Rodriguez,W,Kay Hansen,L,Women's Strawweight Bout,Decision - Unanimous,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/9e52a67410f2c879
1183,UFC 273: Volkanovski vs. The Korean Zombie,Julio Arce,W,Daniel Santos,L,Bantamweight Bout,Decision - Unanimous,3,300,3,Larry Folsom,http://ufcstats.com/fight-details/313c36ce9bde6cf6
1184,UFC Fight Night: Blaydes vs. Daukaus,Curtis Blaydes,W,Chris Daukaus,L,Heavyweight Bout,KO/TKO,2,17,5,Herb Dean,http://ufcstats.com/fight-details/c4e866d9dd606faa
1185,UFC Fight Night: Blaydes vs. Daukaus,Joanne Wood,L,Alexa Grasso,W,Women's Flyweight Bout,Submission,1,237,3,Gary Copeland,http://ufcstats.com/fight-details/1b650c76387c0f4b
1186,UFC Fight Night: Blaydes vs. Daukaus,Matt Brown,L,Bryan Barberena,W,Welterweight Bout,Decision - Split,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/f3c37e23ca30c87d
1187,UFC Fight Night: Blaydes vs. Daukaus,Askar Askarov,L,Kai Kara-France,W,Flyweight Bout,Decision - Unanimous,3,300,3,Chad Trukovich,http://ufcstats.com/fight-details/410e65e4d1782bfc
1188,UFC Fight Night: Blaydes vs. Daukaus,Neil Magny,W,Max Griffin,L,Welterweight Bout,Decision - Split,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/3f92025b29e06bfd
1189,UFC Fight Night: Blaydes vs. Daukaus,Marc Diakiese,W,Viacheslav Borshchev,L,Lightweight Bout,Decision - Unanimous,3,300,3,Gary Copeland,http://ufcstats.com/fight-details/f6afaf2a39fa441c
1190,UFC Fight Night: Blaydes vs. Daukaus,Sara McMann,W,Karol Rosa,L,Women's Bantamweight Bout,Decision - Unanimous,3,300,3,Chad Trukovich,http://ufcstats.com/fight-details/bb31c77bddd1317e
1191,UFC Fight Night: Blaydes vs. Daukaus,Chris Gutierrez,W,Batgerel Danaa,L,Bantamweight Bout,KO/TKO,2,154,3,Herb Dean,http://ufcstats.com/fight-details/d0b7a79d3e7f3362
1192,UFC Fight Night: Blaydes vs. Daukaus,Aliaskhab Khizriev,W,Denis Tiuliulin,L,Middleweight Bout,Submission,2,118,3,Gary Copeland,http://ufcstats.com/fight-details/6ed495c177d69a3a
1193,UFC Fight Night: Blaydes vs. Daukaus,Jennifer Maia,L,Manon Fiorot,W,Women's Flyweight Bout,Decision - Unanimous,3,300,3,Herb Dean,http://ufcstats.com/fight-details/3ecccdab76baa59c
1194,UFC Fight Night: Blaydes vs. Daukaus,Matheus Nicolau,W,David Dvorak,L,Flyweight Bout,Decision - Unanimous,3,300,3,Chad Trukovich,http://ufcstats.com/fight-details/82b2b97b85c7225c
1195,UFC Fight Night: Blaydes vs. Daukaus,Luis Saldana,W,Bruno Souza,L,Featherweight Bout,Decision - Unanimous,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/97e522591ac7eb29
1196,UFC Fight Night: Volkov vs. Aspinall,Alexander Volkov,L,Tom Aspinall,W,Heavyweight Bout,Submission,1,225,5,Marc Goddard,http://ufcstats.com/fight-details/06641a8c62e45661
1197,UFC Fight Night: Volkov vs. Aspinall,Arnold Allen,W,Dan Hooker,L,Featherweight Bout,KO/TKO,1,153,3,Daniel Movahedi,http://ufcstats.com/fight-details/ce3d94186567a684
1198,UFC Fight Night: Volkov vs. Aspinall,Paddy Pimblett,W,Kazula Vargas,L,Lightweight Bout,Submission,1,229,3,Lukasz Bosacki,http://ufcstats.com/fight-details/001441f70c293931
1199,UFC Fight Night: Volkov vs. Aspinall,Gunnar Nelson,W,Takashi Sato,L,Welterweight Bout,Decision - Unanimous,3,300,3,Rich Mitchell,http://ufcstats.com/fight-details/bcd1e1d71a172d53
1200,UFC Fight Night: Volkov vs. Aspinall,Molly McCann,W,Luana Carolina,L,Women's Flyweight Bout,KO/TKO,3,112,3,Daniel Movahedi,http://ufcstats.com/fight-details/5a878a6bebc973d7
1201,UFC Fight Night: Volkov vs. Aspinall,Jai Herbert,L,Ilia Topuria,W,Lightweight Bout,KO/TKO,2,67,3,Marc Goddard,http://ufcstats.com/fight-details/a200b5dcbdd2506e
1202,UFC Fight Night: Volkov vs. Aspinall,Mike Grundy,L,Makwan Amirkhani,W,Featherweight Bout,Submission,1,57,3,Rich Mitchell,http://ufcstats.com/fight-details/6e705b2365bc03fa
1203,UFC Fight Night: Volkov vs. Aspinall,Shamil Abdurakhimov,L,Sergei Pavlovich,W,Heavyweight Bout,KO/TKO,1,243,3,Daniel Movahedi,http://ufcstats.com/fight-details/ae989e21c3839b49
1204,UFC Fight Night: Volkov vs. Aspinall,Nikita Krylov,L,Paul Craig,W,Light Heavyweight Bout,Submission,1,237,3,Lukasz Bosacki,http://ufcstats.com/fight-details/766b4f5e77ab0860
1205,UFC Fight Night: Volkov vs. Aspinall,Jack Shore,W,Timur Valiev,L,Bantamweight Bout,Decision - Unanimous,3,300,3,Marc Goddard,http://ufcstats.com/fight-details/53d0df57a917c6a0
1206,UFC Fight Night: Volkov vs. Aspinall,Cory McKenna,L,Elise Reed,W,Women's Strawweight Bout,Decision - Split,3,300,3,Rich Mitchell,http://ufcstats.com/fight-details/5e378c52f26935d6
1207,UFC Fight Night: Volkov vs. Aspinall,Muhammad Mokaev,W,Cody Durden,L,Flyweight Bout,Submission,1,58,3,Daniel Movahedi,http://ufcstats.com/fight-details/4c7e55061dc3bf89
1208,UFC Fight Night: Santos vs. Ankalaev,Thiago Santos,L,Magomed Ankalaev,W,Light Heavyweight Bout,Decision - Unanimous,5,300,5,Mark Smith,http://ufcstats.com/fight-details/8aa16cc1ba99aac1
1209,UFC Fight Night: Santos vs. Ankalaev,Marlon Moraes,L,Song Yadong,W,Bantamweight Bout,KO/TKO,1,126,3,Keith Peterson,http://ufcstats.com/fight-details/9b46a662b8fa1d8d
1210,UFC Fight Night: Santos vs. Ankalaev,Sodiq Yusuff,W,Alex Caceres,L,Featherweight Bout,Decision - Unanimous,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/70b8d357e89383bd
1211,UFC Fight Night: Santos vs. Ankalaev,Khalil Rountree Jr.,W,Karl Roberson,L,Light Heavyweight Bout,KO/TKO,2,25,3,Herb Dean,http://ufcstats.com/fight-details/23eec2d9cb2d78cd
1212,UFC Fight Night: Santos vs. Ankalaev,Drew Dober,W,Terrance McKinney,L,Lightweight Bout,KO/TKO,1,197,3,Keith Peterson,http://ufcstats.com/fight-details/463fac0e48505b62
1213,UFC Fight Night: Santos vs. Ankalaev,Alex Pereira,W,Bruno Silva,L,Middleweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/226884e46a10865d
1214,UFC Fight Night: Santos vs. Ankalaev,Matthew Semelsberger,W,AJ Fletcher,L,Welterweight Bout,Decision - Unanimous,3,300,3,Herb Dean,http://ufcstats.com/fight-details/3b06c512abfa0494
1215,UFC Fight Night: Santos vs. Ankalaev,JJ Aldrich,W,Gillian Robertson,L,Women's Flyweight Bout,Decision - Unanimous,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/26fbee4ed13ff35d
1216,UFC Fight Night: Santos vs. Ankalaev,Trevin Jones,L,Javid Basharat,W,Bantamweight Bout,Decision - Unanimous,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/b70313eae7c24b27
1217,UFC Fight Night: Santos vs. Ankalaev,Damon Jackson,W,Kamuela Kirk,L,Featherweight Bout,Submission,2,282,3,Chris Tognoni,http://ufcstats.com/fight-details/5cad3ab6553e9ec9
1218,UFC Fight Night: Santos vs. Ankalaev,Sabina Mazo,L,Miranda Maverick,W,Women's Flyweight Bout,Submission,2,135,3,Keith Peterson,http://ufcstats.com/fight-details/b55de7d791b9f62d
1219,UFC Fight Night: Santos vs. Ankalaev,Dalcha Lungiambula,L,Cody Brundage,W,Middleweight Bout,Submission,1,221,3,Mark Smith,http://ufcstats.com/fight-details/9cb78122a23e6a7d
1220,UFC Fight Night: Santos vs. Ankalaev,Kris Moutinho,L,Guido Cannetti,W,Bantamweight Bout,KO/TKO,1,127,3,Chris Tognoni,http://ufcstats.com/fight-details/b400c29fbeee0206
1221,UFC Fight Night: Santos vs. Ankalaev,Tafon Nchukwi,L,Azamat Murzakanov,W,Light Heavyweight Bout,KO/TKO,3,44,3,Herb Dean,http://ufcstats.com/fight-details/f10c2c84652ef573
1222,UFC 272: Covington vs. Masvidal,Colby Covington,W,Jorge Masvidal,L,Welterweight Bout,Decision - Unanimous,5,300,5,Herb Dean,http://ufcstats.com/fight-details/d03d0abf331df751
1223,UFC 272: Covington vs. Masvidal,Rafael Dos Anjos,W,Renato Moicano,L,Catch Weight Bout,Decision - Unanimous,5,300,5,Marc Goddard,http://ufcstats.com/fight-details/838bb84a5a976a9c
1224,UFC 272: Covington vs. Masvidal,Edson Barboza,L,Bryce Mitchell,W,Featherweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/abd45edc07a8d9e3
1225,UFC 272: Covington vs. Masvidal,Kevin Holland,W,Alex Oliveira,L,Welterweight Bout,KO/TKO,2,38,3,Chris Tognoni,http://ufcstats.com/fight-details/43b43c5d439b2f98
1226,UFC 272: Covington vs. Masvidal,Serghei Spivac,W,Greg Hardy,L,Heavyweight Bout,KO/TKO,1,136,3,Marc Goddard,http://ufcstats.com/fight-details/cda06ff86cfe4f5f
1227,UFC 272: Covington vs. Masvidal,Jalin Turner,W,Jamie Mullarkey,L,Lightweight Bout,KO/TKO,2,46,3,Herb Dean,http://ufcstats.com/fight-details/fce6ab43b7d09aa4
1228,UFC 272: Covington vs. Masvidal,Marina Rodriguez,W,Yan Xiaonan,L,Women's Strawweight Bout,Decision - Split,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/9321b3c90ea5ca6c
1229,UFC 272: Covington vs. Masvidal,Nicolae Negumereanu,W,Kennedy Nzechukwu,L,Light Heavyweight Bout,Decision - Split,3,300,3,Mark Smith,http://ufcstats.com/fight-details/ee278a5a25744cac
1230,UFC 272: Covington vs. Masvidal,Maryna Moroz,W,Mariya Agapova,L,Women's Flyweight Bout,Submission,2,207,3,Herb Dean,http://ufcstats.com/fight-details/c6fc43c351b08bda
1231,UFC 272: Covington vs. Masvidal,Brian Kelleher,L,Umar Nurmagomedov,W,Featherweight Bout,Submission,1,195,3,Marc Goddard,http://ufcstats.com/fight-details/59d44b6888885500
1232,UFC 272: Covington vs. Masvidal,Tim Elliott,W,Tagir Ulanbekov,L,Flyweight Bout,Decision - Unanimous,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/c420c376cc1d149c
1233,UFC 272: Covington vs. Masvidal,Devonte Smith,L,Ludovit Klein,W,Lightweight Bout,Decision - Split,3,300,3,Marc Goddard,http://ufcstats.com/fight-details/36d9337a27b71ba9
1234,UFC 272: Covington vs. Masvidal,Dustin Jacoby,W,Michal Oleksiejczuk,L,Light Heavyweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/d5323490163dde0e
1235,UFC Fight Night: Makhachev vs. Green,Islam Makhachev,W,Bobby Green,L,Catch Weight Bout,KO/TKO,1,203,5,Herb Dean,http://ufcstats.com/fight-details/2f4d42e0b9696f71
1236,UFC Fight Night: Makhachev vs. Green,Misha Cirkunov,L,Wellington Turman,W,Middleweight Bout,Submission,2,89,3,Mark Smith,http://ufcstats.com/fight-details/01468f766dd7385c
1237,UFC Fight Night: Makhachev vs. Green,Ji Yeon Kim,L,Priscila Cachoeira,W,Women's Flyweight Bout,Decision - Unanimous,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/c4eb14c3de579842
1238,UFC Fight Night: Makhachev vs. Green,Arman Tsarukyan,W,Joel Alvarez,L,Lightweight Bout,KO/TKO,2,117,3,Chris Tognoni,http://ufcstats.com/fight-details/8515f07911765f89
1239,UFC Fight Night: Makhachev vs. Green,Armen Petrosyan,W,Gregory Rodrigues,L,Middleweight Bout,Decision - Split,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/84d633d4a9fbf331
1240,UFC Fight Night: Makhachev vs. Green,Rongzhu,L,Ignacio Bahamondes,W,Lightweight Bout,Submission,3,100,3,Keith Peterson,http://ufcstats.com/fight-details/61a20ff34b6948ba
1241,UFC Fight Night: Makhachev vs. Green,Josiane Nunes,W,Ramona Pascual,L,Women's Featherweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/f087a10a6f2bcc99
1242,UFC Fight Night: Makhachev vs. Green,Terrance McKinney,W,Fares Ziam,L,Lightweight Bout,Submission,1,131,3,Herb Dean,http://ufcstats.com/fight-details/cb1f27818d46af0e
1243,UFC Fight Night: Makhachev vs. Green,Alejandro Perez,L,Jonathan Martinez,W,Featherweight Bout,Decision - Unanimous,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/901e62b7af57f559
1244,UFC Fight Night: Makhachev vs. Green,Ramiz Brahimaj,W,Micheal Gillmore,L,Welterweight Bout,Submission,1,122,3,Mark Smith,http://ufcstats.com/fight-details/c5d5fcf290cc029e
